GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,SeriesResource,228,0,16,0,51,0,16,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,UserResource,264,0,16,0,43,0,16,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,AccountResource,193,0,24,0,52,0,23,0,11,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,AuthenticateController.JWTToken,13,0,0,0,6,0,3,0,3,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,AuthenticateController,113,0,2,0,29,0,5,0,4,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,PublicUserResource,88,0,2,0,14,0,6,0,5,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,CategoryResource,235,0,18,0,53,0,17,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,BoardGameResource,283,0,32,0,67,0,24,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest,PublisherResource,228,0,16,0,51,0,16,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,ExceptionTranslator,506,0,88,0,91,0,68,0,24,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,InvalidPasswordException,14,0,0,0,7,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.errors,BadRequestAlertException,44,0,0,0,16,0,5,0,5,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,User_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Series_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Publisher,0,126,2,10,0,36,2,21,0,17
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Publisher_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Category,0,140,2,10,0,42,2,24,0,20
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,BoardGame_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Category_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Authority,21,14,4,0,6,5,4,4,2,4
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,BoardGame,18,216,0,8,8,79,4,44,4,40
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,User,70,83,8,0,17,33,14,20,10,20
Boardgamemanager,fr.univnantes.dde.boardgamemanager.domain,Series,0,119,2,10,0,36,2,21,0,17
Boardgamemanager,fr.univnantes.dde.boardgamemanager.management,SecurityMetersService,0,57,0,0,0,19,0,6,0,6
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,CacheConfiguration,142,0,2,0,35,0,10,0,9,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,SecurityJwtConfiguration,95,0,8,0,23,0,10,0,6,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,JacksonConfiguration,18,0,0,0,4,0,4,0,4,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,SecurityConfiguration,252,0,2,0,33,0,11,0,10,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,WebConfigurer,39,54,5,3,9,14,5,3,2,2
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,LocaleConfiguration,20,0,0,0,6,0,3,0,3,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,DatabaseConfiguration,50,0,4,0,14,0,5,0,3,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.aop.logging,LoggingAspect,117,0,10,0,27,0,11,0,6,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.repository,BoardGameRepositoryWithBagRelationshipsImpl,165,0,0,0,28,0,12,0,12,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.repository,BoardGameRepository,17,0,0,0,3,0,3,0,3,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service.dto,AdminUserDTO,95,95,0,0,31,27,18,11,18,11
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service.mapper,UserMapper,100,114,12,6,27,33,12,11,6,8
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service,MailService,185,0,2,0,42,0,7,0,6,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.service,UserService,636,0,22,0,181,0,40,0,29,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager,BoardgamemanagerApp,149,0,10,0,34,0,11,0,6,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.security,SecurityUtils,16,109,6,12,4,21,6,15,0,12
Boardgamemanager,fr.univnantes.dde.boardgamemanager.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.security,DomainUserDetailsService,101,0,4,0,24,0,9,0,7,0
Boardgamemanager,fr.univnantes.dde.boardgamemanager.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
